	Overall	Adherence to Prompt	Clarity of Thesis	Strength of Argument	Development	Organization	Coherence	Cohesion	Sentence Structure	Vocabulary	Technical Quality
NOUO1052	[3.0, 3.0]	[3.5, 4.0]	[3.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.0]	[3.0, 3.0]
ITRS2036	[2.5, 2.5]	[3.0, 2.5]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 3.0]	[3.0, 3.5]	[2.5, 3.0]	[3.5, 3.5]	[3.0, 2.5]	[3.0, 2.5]
FIJY1047	[3.0, 3.0]	[3.0, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
TRCU1043	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.5]	[2.5, 3.0]	[2.5, 3.0]	[2.5, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[2.5, 3.0]	[2.5, 2.5]	[3.0, 3.5]
FIJY1050	[2.5, 2.5]	[3.0, 2.5]	[3.0, 2.0]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
RUMO5033	[2.5, 2.5]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]
CNUK1125	[3.0, 3.0]	[3.5, 3.5]	[4.0, 4.0]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]
BGSU1036	[2.5, 2.5]	[3.0, 2.5]	[3.5, 4.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 2.5]	[3.5, 4.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 4.0]
DBAN2054	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]
CZKR1009	[2.5, 3.0]	[3.0, 3.5]	[2.5, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.0, 2.0]
FIAB3004	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[4.0, 4.0]	[3.0, 4.0]	[3.0, 3.0]	[2.5, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.0]
CNUK4029	[2.5, 2.5]	[4.0, 4.0]	[4.0, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
FIJY1058	[2.0, 2.0]	[2.5, 2.5]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
NOBE1013	[3.0, 3.5]	[4.0, 4.0]	[3.5, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]
DBAN2008	[3.0, 3.0]	[4.0, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.5, 4.0]	[3.5, 4.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]
NOBE1004	[3.5, 3.0]	[4.0, 3.0]	[4.0, 3.5]	[3.0, 2.0]	[3.5, 2.5]	[3.5, 2.5]	[3.5, 3.0]	[3.5, 3.0]	[3.0, 2.5]	[3.0, 2.5]	[3.5, 3.0]
RUMO9010	[2.5, 2.5]	[4.0, 4.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.0, 2.0]	[3.0, 3.0]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]
NOOS1041	[2.0, 2.0]	[3.0, 2.5]	[4.0, 4.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 3.5]
RUMO5043	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
CNUK1003	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]
FRUC3068	[3.0, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 3.5]	[3.0, 3.5]	[3.5, 4.0]	[3.0, 2.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 4.0]
RUMO5028	[3.5, 3.5]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
FRUC3067	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 2.0]
CNUK1139	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.5]	[3.5, 3.0]	[2.5, 2.0]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 4.0]	[2.5, 2.5]
BGSU1040	[3.5, 3.5]	[3.5, 4.0]	[3.5, 3.0]	[3.0, 2.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
DBAN3034	[2.5, 2.5]	[3.0, 2.0]	[3.5, 4.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]
FIJY1057	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
FIJY1080	[2.5, 2.5]	[2.0, 1.5]	[2.0, 1.5]	[2.0, 1.5]	[2.0, 1.5]	[2.0, 1.5]	[2.0, 1.5]	[2.0, 2.0]	[2.5, 2.0]	[2.5, 2.0]	[3.0, 3.0]
FRUC3081	[3.5, 3.5]	[3.5, 4.0]	[3.5, 3.0]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]
CNUK1062	[3.5, 2.5]	[4.0, 2.0]	[4.0, 2.0]	[3.0, 2.5]	[3.5, 2.0]	[3.0, 1.5]	[4.0, 2.5]	[3.0, 2.0]	[3.5, 1.5]	[3.0, 2.5]	[3.0, 2.5]
FRUC3077	[2.5, 2.5]	[4.0, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[3.0, 2.0]	[3.5, 2.0]	[3.5, 2.0]	[3.5, 2.0]	[3.0, 2.5]	[4.0, 2.5]	[3.5, 2.0]
FIJY1017	[2.5, 2.0]	[4.0, 4.0]	[3.5, 4.0]	[2.5, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
CNUK4036	[2.5, 3.0]	[2.5, 2.0]	[3.0, 3.0]	[2.0, 2.0]	[2.5, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 3.0]	[2.0, 2.0]
SPM03002	[3.0, 3.0]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 2.5]	[4.0, 4.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.5]
CZKR1007	[2.0, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 3.0]	[2.5, 2.5]	[2.5, 3.0]	[2.5, 3.0]	[3.0, 3.0]	[2.5, 2.0]	[2.5, 2.5]
